%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
25.0, -50050.00390625, 15160.875, -7474.244140625, 10054.484375, -2481.624755859375, -76788.0546875, 7272.52001953125, 5921.06640625, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003518E9, 2021-06-06 18:39:13.003
26.0, -50037.8203125, 15179.1142578125, -7458.083984375, 10077.7080078125, -2471.67822265625, -76777.7265625, 7287.361328125, 5934.6787109375, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003521E9, 2021-06-06 18:39:13.003
27.0, -50025.19140625, 15195.0732421875, -7441.20849609375, 10096.037109375, -2459.45166015625, -76762.7265625, 7303.23095703125, 5956.31494140625, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003523E9, 2021-06-06 18:39:13.003
28.0, -50031.359375, 15188.703125, -7446.95263671875, 10086.783203125, -2459.04931640625, -76760.828125, 7300.48193359375, 5953.72216796875, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003526E9, 2021-06-06 18:39:13.003
29.0, -50048.1484375, 15169.4130859375, -7466.890625, 10062.1064453125, -2481.736328125, -76777.140625, 7281.50537109375, 5933.806640625, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003529E9, 2021-06-06 18:39:13.003
30.0, -50050.60546875, 15165.1884765625, -7471.4501953125, 10054.216796875, -2492.197021484375, -76786.171875, 7271.7373046875, 5927.3916015625, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003531E9, 2021-06-06 18:39:13.003
31.0, -50041.0625, 15178.9794921875, -7457.8603515625, 10070.1533203125, -2477.06494140625, -76774.1484375, 7289.1494140625, 5934.36572265625, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003534E9, 2021-06-06 18:39:13.003
32.0, -50028.87890625, 15195.4306640625, -7443.443359375, 10081.5078125, -2456.210693359375, -76765.40625, 7309.24365234375, 5940.37841796875, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003536E9, 2021-06-06 18:39:13.003
33.0, -50035.47265625, 15188.12109375, -7449.76904296875, 10077.1943359375, -2457.440185546875, -76773.59375, 7296.81591796875, 5936.71240234375, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003539E9, 2021-06-06 18:39:13.003
34.0, -50049.51171875, 15170.7763671875, -7466.53271484375, 10055.8037109375, -2478.361328125, -76789.6640625, 7272.564453125, 5921.35693359375, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003541E9, 2021-06-06 18:39:13.003
35.0, -50052.2578125, 15162.1708984375, -7473.95361328125, 10049.0537109375, -2477.020263671875, -76790.3125, 7269.03271484375, 5917.69140625, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003544E9, 2021-06-06 18:39:13.003
36.0, -50041.15234375, 15178.7783203125, -7456.58642578125, 10070.7119140625, -2467.543212890625, -76775.2890625, 7284.25439453125, 5933.29248046875, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003547E9, 2021-06-06 18:39:13.003
37.0, -50026.35546875, 15200.03515625, -7435.55322265625, 10094.4052734375, -2454.1767578125, -76765.40625, 7300.28076171875, 5949.453125, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003549E9, 2021-06-06 18:39:13.003
38.0, -50030.37890625, 15195.0732421875, -7438.16845703125, 10088.4150390625, -2458.28955078125, -76764.40625, 7299.43115234375, 5950.212890625, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053003552E9, 2021-06-06 18:39:13.003
39.0, -50046.91796875, 15177.125, -7457.2568359375, 10065.3251953125, -2474.718017578125, -76778.28125, 7283.78515625, 5932.2197265625, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053025174E9, 2021-06-06 18:39:13.025
40.0, -50053.734375, 15168.9658203125, -7466.42138671875, 10056.7646484375, -2488.397216796875, -76777.9453125, 7279.09130859375, 5927.74951171875, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053025179E9, 2021-06-06 18:39:13.025
41.0, -50039.8984375, 15187.294921875, -7450.39501953125, 10073.3720703125, -2480.68603515625, -76771.84375, 7289.775390625, 5942.54638671875, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.622984053025182E9, 2021-06-06 18:39:13.025
